
"AMD uProf (Version:5.3.280.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"/home/eshan/dev/js/target/release/js"
Command Line Arguments:,"target/release/js"
Working Directory:,"/home/eshan/dev/AMDuProf_Linux_x64_5.3.280/bin"
Environment Variables:
CPU Details:,"Family(0x19), Model(0x1), Number of Cores(256)"
Operating System:,"Linux Ubuntu 24.04.1 LTS-64 Kernel:6.8.0-85-generic"
Collect Command:,"./AMDuProfCLI collect --config hotspots -o /home/eshan/dev/sessions/ --pid 3425504"
Report Command:,"./AMDuProfCLI report --inline --detail -g --cutoff 0 -i /home/eshan/dev/sessions/AMDuProf-Attached-Hotspots_Feb-23-2026_11-01-17"

PROFILE DETAILS
Profile Session Type:,"Hotspots"
Profile Scope:,"Single Application"
CPU Mask:,"0-255"
CPU Affinity Mask:,"0-255"
Profile Start Time:,"Mon Feb 23 11:01:17 2026"
Profile End Time:,"Mon Feb 23 11:01:53 2026"
Profile Duration:,"35.798 seconds"
Data Folder:,"/home/eshan/dev/sessions/AMDuProf-Attached-Hotspots_Feb-23-2026_11-01-17"
Virtual Machine:,"No"
Call Stack Sampling:,"False"
Selected View:,"Time based hotspots"

MONITORED EVENTS
TBP Events:,Name,Interval,Description
,"CPU_TIME","10.000 milliseconds","CPU Time is the time in which the CPU core is executing the code."


APPLICATION PERFORMANCE SNAPSHOT
Thread Count,"1"


"HOTTEST FUNCTIONS (Sort Event - CPU_TIME)"
FUNCTION,"CPU_TIME" (seconds),Module
"[inlined] mm_trace_rss_stat",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] __folio_memcg",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] pte_mksaveddirty",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] lru_gen_exit_fault",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"free_unref_page_prepare",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] do_pte_missing",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$11finish_grow17h300a142e9c5ae877E",0.0100,"/home/eshan/dev/js/target/release/js"
"pte_mkwrite",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] __pte_needs_invert",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN45_$LT$f64$u20$as$u20$zmij..private..Sealed$GT$20write_to_zmij_buffer17ha88a8ba49b7cf853E",0.0100,"/home/eshan/dev/js/target/release/js"
"[inlined] mpol_needs_cond_ref",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] xa_is_internal",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"mem_cgroup_from_task",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$11finish_grow17h408a8b4419c06d04E.llvm.5620721052511438877",0.0100,"/home/eshan/dev/js/target/release/js"
"[inlined] css_get",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
